city,country,lat,lng,date,temp,humidity,cloudiness,wind_speed
Pochutla,MX,15.74,-96.47,1583820944,77.0,67,0,12.75
Floresta,BR,-8.6,-38.57,1583820944,74.32,82,91,5.99
Arraial do Cabo,BR,-22.97,-42.03,1583820945,75.76,85,0,10.8
Jumla,NP,29.27,82.18,1583820945,60.01,92,0,5.46
Hong Kong,HK,22.29,114.16,1583820877,76.95,56,20,19.46
Esperance,AU,-33.87,121.9,1583820945,75.2,53,61,11.41
Wuda,CN,39.5,106.71,1583820945,39.22,20,0,17.49
São João da Barra,BR,-21.64,-41.05,1583820945,75.22,84,0,2.66
Rovaniemi,FI,66.5,25.72,1583820945,30.2,92,40,13.87
Ribeira Grande,PT,38.52,-28.7,1583820945,58.48,86,100,16.35
Souillac,MU,-20.52,57.52,1583820946,80.73,78,75,18.34
Hilo,US,19.73,-155.09,1583820867,62.04,83,90,8.14
Champerico,GT,14.3,-91.92,1583820946,76.12,76,0,4.21
Ushuaia,AR,-54.8,-68.3,1583820946,44.6,81,75,20.8
Amahai,ID,-3.33,128.92,1583820946,85.48,67,99,6.06
Saint George,US,37.1,-113.58,1583820946,48.87,50,1,8.05
Lock Haven,US,41.14,-77.45,1583820946,47.16,34,1,4.72
East London,ZA,-33.02,27.91,1583820930,71.6,88,20,2.24
Puerto Ayora,EC,-0.74,-90.35,1583820946,78.01,100,0,7.85
Black Diamond,US,47.31,-122.0,1583820947,35.31,69,1,3.67
Broome,US,42.25,-75.83,1583820947,47.95,79,75,5.59
Barrow,US,71.29,-156.79,1583820902,-22.0,74,1,4.7
Independência,BR,-5.4,-40.31,1583820947,71.08,97,98,1.92
Ayagoz,KZ,47.97,80.44,1583820947,23.74,64,100,5.91
Tuktoyaktuk,CA,69.45,-133.04,1583820947,-16.6,75,90,6.93
Lázaro Cárdenas,MX,17.96,-102.2,1583820947,72.88,79,19,2.64
Rikitea,PF,-23.12,-134.97,1583820947,78.82,84,3,11.99
Cape Town,ZA,-33.93,18.42,1583820780,65.01,77,100,5.82
Mehamn,NO,71.04,27.85,1583820948,35.08,89,75,20.8
Lebu,CL,-37.62,-73.65,1583820948,50.56,79,45,3.31
Urucará,BR,-2.54,-57.76,1583820948,74.5,90,72,2.42
Ileza,RU,61.05,43.9,1583820948,32.92,94,96,7.52
Eshowe,ZA,-28.89,31.47,1583820948,75.76,75,25,1.92
Saskylakh,RU,71.92,114.08,1583820948,-26.3,90,0,3.56
Husavik,IS,66.04,-17.34,1583820949,30.2,80,20,14.99
Grand Gaube,MU,-20.01,57.66,1583820949,80.29,78,75,18.34
Shenavan,AM,40.05,43.93,1583820949,50.86,29,85,4.7
Fairbanks,US,64.84,-147.72,1583820933,3.24,84,90,6.93
Burhar,IN,23.22,81.53,1583820949,81.16,31,50,9.17
Monroe,US,43.15,-77.68,1583820949,53.42,46,90,4.7
Vaini,TO,-21.2,-175.2,1583820949,75.2,100,90,5.82
Mataura,NZ,-46.19,168.86,1583820950,52.0,78,100,8.01
Ţahţā,EG,26.77,31.5,1583820800,61.74,36,0,9.17
Albany,US,42.6,-73.97,1583820840,47.71,34,1,3.36
Kapaa,US,22.08,-159.32,1583820950,70.36,69,90,7.05
Punta Arenas,CL,-53.15,-70.92,1583820951,42.6,70,75,4.7
Winnemucca,US,40.97,-117.74,1583820951,28.4,74,1,4.7
Griffith,US,41.53,-87.42,1583820951,51.06,100,90,10.29
Thompson,CA,55.74,-97.86,1583820951,-20.2,75,5,0.74
Bambanglipuro,ID,-7.95,110.28,1583820951,85.66,66,60,10.42
Te Anau,NZ,-45.42,167.72,1583820725,50.38,85,95,6.6
Verkhnyaya Inta,RU,65.98,60.31,1583820952,32.02,96,100,24.14
Bac Lieu,VN,9.29,105.72,1583820952,101.5,29,0,7.85
Cherskiy,RU,68.75,161.3,1583820952,-8.12,94,100,7.52
Bredasdorp,ZA,-34.53,20.04,1583820952,67.64,72,87,9.17
Alta Gracia,AR,-31.65,-64.43,1583820952,69.37,88,90,3.36
Tokuyama,JP,34.05,131.82,1583820952,58.42,87,75,6.93
Hermanus,ZA,-34.42,19.23,1583820953,66.99,82,94,7.0
Port-Gentil,GA,-0.72,8.78,1583820953,80.6,94,40,2.24
Fort Nelson,CA,58.81,-122.7,1583820953,32.0,84,20,2.24
Pisco,PE,-13.7,-76.22,1583820953,72.18,83,0,5.82
Madang,PG,-5.22,145.8,1583820953,85.12,74,100,16.71
Marawi,PH,8.0,124.29,1583820953,82.99,76,27,5.99
Padang,ID,-0.95,100.35,1583820953,84.22,58,11,5.93
Noumea,NC,-22.28,166.46,1583820953,89.8,52,75,5.82
Makkah al Mukarramah,SA,21.43,39.83,1583820954,80.08,31,0,1.25
Bilma,NE,18.69,12.92,1583820954,66.58,25,10,8.66
Bazaliia,UA,49.71,26.47,1583820954,39.94,88,100,7.02
Auki,SB,-8.77,160.7,1583820954,83.32,79,100,15.79
Vila Franca do Campo,PT,37.72,-25.43,1583820954,60.8,67,75,10.29
Atuona,PF,-9.8,-139.03,1583820954,81.88,68,0,16.8
Oktyabr'skoye,RU,43.06,44.74,1583820954,35.6,100,90,2.24
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,1583820954,33.8,59,40,11.18
Honningsvåg,NO,70.98,25.97,1583820954,34.56,80,75,40.26
Lompoc,US,34.64,-120.46,1583820955,55.47,71,100,9.57
Praia da Vitória,PT,38.73,-27.07,1583820955,62.6,67,75,23.26
Katsuura,JP,35.13,140.3,1583820955,60.04,100,75,5.82
Kuna,US,43.49,-116.42,1583820773,41.77,75,75,6.93
Yellowknife,CA,62.46,-114.35,1583820955,2.39,71,40,11.41
Kamaishi,JP,39.27,141.88,1583820955,55.4,93,75,2.24
Mahibadhoo,MV,3.78,72.97,1583820955,82.96,71,96,12.28
Longyearbyen,SJ,78.22,15.64,1583820956,-11.2,63,20,5.82
New Norfolk,AU,-42.78,147.06,1583820956,63.39,55,20,17.22
Upernavik,GL,72.79,-56.15,1583820956,-29.18,98,45,8.48
Khatanga,RU,71.97,102.5,1583820956,-19.82,93,0,4.41
Buenos Aires,AR,-34.61,-58.38,1583820956,67.15,73,90,18.34
Gazli,UZ,40.13,63.45,1583820956,48.58,33,0,5.19
Castro,BR,-24.79,-50.01,1583820956,61.54,91,34,6.42
Bluff,NZ,-46.6,168.33,1583820957,52.0,78,100,8.01
Ahipara,NZ,-35.17,173.17,1583820957,69.01,80,97,17.18
Rawson,AR,-43.3,-65.1,1583820923,66.04,60,31,23.51
Saint-Pierre,RE,-21.34,55.48,1583820957,83.05,62,1,13.87
Nanortalik,GL,60.14,-45.24,1583820957,22.12,72,97,10.11
Ganzhou,CN,28.82,115.43,1583820822,61.36,53,29,11.03
Sørland,NO,67.67,12.69,1583820957,33.8,86,75,13.87
Uyuni,BO,-20.46,-66.83,1583820958,49.84,61,5,15.59
Rāmpura,IN,30.25,75.23,1583820958,76.12,34,0,1.19
Coahuayana Viejo,MX,18.73,-103.68,1583820958,74.32,58,31,4.43
Gigmoto,PH,13.78,124.39,1583820958,80.8,77,33,14.12
Roswell,US,34.02,-84.36,1583820930,56.14,58,1,4.7
Provideniya,RU,64.38,-173.3,1583820958,-4.0,76,40,3.29
San Patricio,MX,19.22,-104.7,1583820958,75.94,75,36,5.1
Inhambane,MZ,-23.86,35.38,1583820959,78.8,78,20,8.12
Tilichiki,RU,60.47,166.1,1583820959,8.26,93,100,7.58
Bastrop,US,32.76,-91.87,1583820959,64.06,93,90,6.93
Tokur,RU,53.13,132.9,1583820959,16.18,72,100,3.31
Invermere,CA,50.52,-116.04,1583820959,10.6,82,26,0.81
Hobart,AU,-42.88,147.33,1583820800,63.93,55,20,17.22
Ancud,CL,-41.87,-73.82,1583820959,50.56,87,52,4.83
Tauá,BR,-5.97,-40.3,1583820959,70.54,94,100,1.9
Kavieng,PG,-2.57,150.8,1583820960,84.04,69,100,3.06
Jamestown,US,42.1,-79.24,1583820661,53.83,34,90,6.93
Qaanaaq,GL,77.48,-69.36,1583820960,-29.36,65,0,5.08
Carnarvon,AU,-24.87,113.63,1583820960,84.2,70,0,10.29
Saint Anthony,US,45.02,-93.22,1583820960,28.74,68,1,5.82
Hildburghausen,DE,50.43,10.73,1583820960,38.84,80,40,17.22
Keningau,MY,5.34,116.16,1583820960,86.0,66,20,13.87
Manggar,ID,-2.88,108.27,1583821182,82.78,77,98,7.9
Ashland,US,40.82,-82.27,1583821183,54.64,76,90,21.92
Mar del Plata,AR,-38.0,-57.56,1583820981,59.92,82,100,5.82
Amapá,BR,1.0,-52.0,1583821183,70.36,96,100,2.39
Bonavista,CA,48.65,-53.11,1583821183,8.01,70,74,21.99
Kulhudhuffushi,MV,6.62,73.07,1583821183,83.86,65,89,9.19
Dikson,RU,73.51,80.55,1583821183,-9.56,88,45,25.66
Vila Velha,BR,-20.33,-40.29,1583821160,75.09,94,75,3.36
Butaritari,KI,3.07,172.79,1583821183,83.86,80,100,19.35
Beisfjord,NO,68.38,17.6,1583821184,29.12,99,75,17.22
Mahon,ES,39.89,4.27,1583821064,51.8,66,43,17.22
Hithadhoo,MV,-0.6,73.08,1583821184,83.86,78,23,13.09
Camacupa,AO,-12.02,17.48,1583821184,64.06,96,94,1.16
Alofi,NU,-19.06,-169.92,1583820906,82.4,83,97,3.36
Berlevåg,NO,70.86,29.09,1583821184,35.6,80,75,27.51
Port Alfred,ZA,-33.59,26.89,1583821184,68.0,98,87,1.99
North Myrtle Beach,US,33.82,-78.68,1583821184,55.45,82,1,6.93
Geraldton,AU,-28.77,114.6,1583821185,98.6,23,0,18.34
Mitsamiouli,KM,-11.38,43.28,1583821185,87.8,70,20,5.82
Nsukka,NG,6.86,7.39,1583821185,80.6,78,20,3.36
Busselton,AU,-33.65,115.33,1583821091,90.37,13,36,14.47
Kieta,PG,-6.22,155.63,1583821185,82.78,78,96,6.55
Östersund,SE,63.18,14.64,1583821185,22.42,92,0,5.82
Dicabisagan,PH,17.08,122.42,1583821185,82.24,74,1,4.18
Muros,ES,42.78,-9.06,1583821185,48.15,100,90,3.36
Kahului,US,20.89,-156.47,1583820904,65.79,73,20,9.17
Dalnerechensk,RU,45.93,133.72,1583821186,28.6,77,100,11.54
Hasaki,JP,35.73,140.83,1583821186,62.56,93,75,9.17
Kiruna,SE,67.86,20.23,1583821186,32.0,76,18,13.87
Hamilton,US,39.18,-84.53,1583821124,57.72,59,90,18.34
Strezhevoy,RU,60.73,77.59,1583821186,17.6,61,18,8.95
Aksaray,TR,38.37,34.03,1583821129,53.6,32,75,21.92
Guerrero Negro,MX,27.98,-114.06,1583821130,65.86,49,90,7.31
Paamiut,GL,61.99,-49.67,1583821186,14.2,54,68,3.96
Sola,VU,-13.88,167.55,1583821187,89.6,75,75,8.72
Bambous Virieux,MU,-20.34,57.76,1583820952,80.64,78,75,18.34
Trogir,HR,43.51,16.25,1583821187,50.04,34,0,4.7
Saldanha,ZA,-33.01,17.94,1583820900,59.0,82,100,6.93
Paragominas,BR,-2.97,-47.48,1583821187,71.62,99,100,0.47
Polunochnoye,RU,60.87,60.42,1583821187,33.82,88,50,7.47
Smithers,CA,54.78,-127.17,1583821187,32.0,92,90,11.41
Kirkwall,GB,58.98,-2.96,1583821187,44.73,93,88,16.11
Carrefour,HT,18.54,-72.4,1583821187,75.2,64,3,8.05
Ekenäs,FI,59.97,23.43,1583821188,37.65,99,100,14.09
Port Blair,IN,11.67,92.75,1583820997,80.8,67,32,6.58
Syracuse,IT,37.09,15.28,1583821188,48.06,71,75,11.41
Abu Samrah,SY,35.3,37.18,1583821188,59.02,61,0,11.68
Isangel,VU,-19.55,169.27,1583821188,86.0,70,20,9.17
Pāsighāt,IN,28.07,95.33,1583821188,75.04,52,0,4.14
Sobolevo,RU,54.43,31.9,1583821188,41.92,93,98,2.91
Riyadh,SA,24.69,46.72,1583821151,66.2,42,0,2.24
Vao,NC,-22.67,167.48,1583821189,80.44,70,0,13.76
Laizhou,CN,37.18,119.93,1583821189,46.24,25,0,21.09
Coquimbo,CL,-29.95,-71.34,1583821189,60.8,93,90,8.68
Darhan,MN,49.49,105.92,1583821189,22.48,78,66,10.02
Puerto Escondido,MX,15.85,-97.07,1583821189,71.8,65,0,3.98
Portland,US,45.52,-122.68,1583821009,38.75,70,1,3.36
Egvekinot,RU,66.32,-179.17,1583821189,-20.0,100,99,4.07
Sitka,US,57.05,-135.33,1583821189,36.63,94,90,13.87
Havre-St-Pierre,CA,50.23,-63.6,1583821190,3.2,38,90,6.93
Port Lincoln,AU,-34.73,135.87,1583821190,74.68,44,0,8.95
Port Elizabeth,ZA,-33.92,25.57,1583821190,66.2,100,75,5.82
Santana do Livramento,BR,-30.89,-55.53,1583821190,66.94,87,0,5.86
George Town,MY,5.41,100.34,1583821108,91.54,63,20,8.05
Nanchang,CN,28.68,115.88,1583821111,62.8,53,87,5.77
Kotlas,RU,61.26,46.66,1583821190,32.02,92,90,8.05
Flin Flon,CA,54.77,-101.86,1583821191,-4.34,96,42,5.32
Lavrentiya,RU,65.58,-171.0,1583821191,-12.8,98,27,5.68
Cururupu,BR,-1.83,-44.87,1583821191,71.26,99,100,1.63
Nantucket,US,41.28,-70.1,1583821141,46.0,87,1,12.75
Bowen,AU,-20.02,148.23,1583821024,79.75,78,90,13.87
Aykhal,RU,66.0,111.5,1583821191,-18.4,68,99,6.71
Vilhena,BR,-12.74,-60.15,1583820989,70.36,91,54,1.14
Bintulu,MY,3.17,113.03,1583821192,86.0,79,75,5.82
Marquette,US,46.53,-87.63,1583821192,23.05,85,90,14.99
La Maddalena,IT,41.21,9.41,1583821192,32.0,76,25,1.12
Saint-Philippe,RE,-21.36,55.77,1583821192,82.99,62,35,13.87
Povarovo,RU,56.07,37.05,1583821192,40.15,93,75,8.95
Cabo San Lucas,MX,22.89,-109.91,1583820912,72.28,46,90,5.82
Tomatlán,MX,19.93,-105.25,1583821192,68.74,68,93,2.53
Biak,ID,-0.91,122.88,1583821192,84.22,74,41,14.14
Santa Clara,CU,22.4,-79.97,1583821077,68.0,88,40,3.36
Beringovskiy,RU,63.05,179.32,1583821193,0.52,99,97,1.52
San Andrés,CO,12.58,-81.7,1583821133,78.8,83,40,11.41
Nikolskoye,RU,59.7,30.79,1583821193,35.78,88,40,4.47
Dingle,PH,11.0,122.67,1583821193,88.18,54,0,7.94
Gamba,GA,-2.65,10.0,1583821193,78.64,91,94,2.68
Nanpiao,CN,41.1,120.75,1583821193,41.38,23,0,18.48
Owensboro,US,37.77,-87.11,1583821154,58.41,100,90,16.11
Marsh Harbour,BS,26.54,-77.06,1583821193,70.36,71,3,25.12
Necochea,AR,-38.55,-58.74,1583821194,48.99,89,100,1.99
Bethel,US,41.37,-73.41,1583820970,51.98,30,1,8.05
Jalu,LY,29.03,21.55,1583821194,55.6,68,0,4.07
Whitehorse,CA,60.72,-135.05,1583821194,19.81,85,40,10.29
Semnan,IR,35.57,53.4,1583821194,49.3,27,0,2.62
Dayong,CN,25.02,118.29,1583821194,75.2,57,20,4.47
Katobu,ID,-4.94,122.53,1583821194,90.16,56,32,6.85
Bungu,TZ,-7.63,39.06,1583821194,79.72,89,100,2.68
Irbeyskoye,RU,55.64,95.45,1583821194,26.08,88,100,12.62
Norman Wells,CA,65.28,-126.83,1583821195,-14.8,75,75,3.36
Dongtai,CN,32.85,120.31,1583821195,53.98,57,81,13.87
Birao,CF,10.28,22.79,1583821195,81.88,14,6,11.95
Galveston,US,29.37,-94.97,1583821195,67.5,93,20,11.41
Ürümqi,CN,43.8,87.6,1583821195,32.0,31,0,2.24
Distrikt Brokopondo,SR,4.75,-55.17,1583821195,71.98,86,71,6.6
Micheweni,TZ,-4.97,39.83,1583821195,84.58,70,99,3.87
Shiraz,IR,29.6,52.54,1583821155,51.8,20,0,4.7
Kiomboi,TZ,-4.27,34.37,1583821196,62.98,96,100,3.62
Rosetta,EG,31.4,30.42,1583821196,50.0,87,20,2.24
Khargone,IN,21.82,75.6,1583821196,87.64,21,4,9.26
Bandarbeyla,SO,9.49,50.81,1583821196,77.2,72,19,13.94
Bereslavka,RU,48.63,44.04,1583821196,33.8,100,90,17.9
Devils Lake,US,48.11,-98.87,1583821196,21.92,79,90,4.7
Avarua,CK,-21.21,-159.78,1583821196,77.0,88,100,2.24
Udachny,RU,66.42,112.4,1583821196,-18.4,68,98,6.71
Namatanai,PG,-3.67,152.43,1583821197,83.5,78,100,14.54
Saint Paul Harbor,US,57.79,-152.41,1583821197,32.0,79,1,14.83
Codrington,AU,-38.27,141.97,1583821197,61.36,80,0,18.77
Whyalla,AU,-33.03,137.58,1583821197,82.4,30,0,12.75
Okhotsk,RU,59.38,143.3,1583821197,3.22,79,48,5.61
Tasiilaq,GL,65.61,-37.64,1583821197,15.8,43,100,22.64
Avera,US,33.19,-82.53,1583821197,59.27,77,75,4.7
Pevek,RU,69.7,170.31,1583821197,-15.5,97,98,5.86
Youkounkoun,GN,12.53,-13.13,1583821198,68.92,81,82,4.14
Belaya Gora,RU,68.53,146.42,1583821198,-18.2,92,39,2.06
Olafsvik,IS,64.89,-23.71,1583821198,29.86,68,100,27.72
Kamenka,RU,51.32,42.77,1583821198,46.53,84,88,4.0
Meulaboh,ID,4.14,96.13,1583821198,84.4,72,99,7.96
Tiksi,RU,71.69,128.87,1583821198,-26.48,83,63,2.71
Port Hardy,CA,50.7,-127.42,1583821198,39.2,64,90,8.05
Leningradskiy,RU,69.38,178.42,1583821198,-11.54,87,100,4.54
Talnakh,RU,69.49,88.4,1583821198,-11.2,63,7,13.42
Matagami,CA,49.75,-77.63,1583821199,15.8,92,90,3.36
Tura,IN,25.52,90.22,1583821199,86.2,22,0,4.5
Port Macquarie,AU,-31.43,152.92,1583821146,66.47,93,75,9.17
Nouadhibou,MR,20.93,-17.03,1583821199,70.72,42,0,17.81
Dumas,US,35.87,-101.97,1583821199,48.45,70,1,12.75
Faanui,PF,-16.48,-151.75,1583821199,83.14,75,94,10.0
Iracoubo,GF,5.48,-53.2,1583821199,78.82,75,86,16.51
Sisimiut,GL,66.94,-53.67,1583821200,-3.08,93,74,6.8
Margate,GB,51.38,1.39,1583821200,52.03,87,75,20.8
Black River,JM,18.03,-77.85,1583821200,76.59,78,75,16.11
Pismo Beach,US,35.14,-120.64,1583821200,54.34,87,1,4.29
Grindavik,IS,63.84,-22.43,1583821200,32.0,54,100,18.34
Olinda,BR,-8.01,-34.86,1583821200,77.0,83,52,3.36
Sulangan,PH,11.14,123.72,1583821200,80.8,73,0,7.25
Mahébourg,MU,-20.41,57.7,1583821200,80.67,78,75,18.34
Tadine,NC,-21.55,167.88,1583821200,79.54,75,45,10.69
Big Bend,SZ,-26.82,31.93,1583821201,68.0,88,4,2.93
Mahesāna,IN,23.6,72.4,1583821201,77.0,57,40,9.17
Tessalit,ML,20.2,1.01,1583821201,58.48,15,74,9.55
Gizo Government Station,SB,-8.1,156.84,1583821201,78.64,87,100,10.8
Kuytun,RU,54.34,101.5,1583821201,24.46,89,100,11.52
Ostrovnoy,RU,68.05,39.51,1583821201,34.36,85,85,29.53
Yulara,AU,-25.24,130.99,1583821201,98.6,11,0,8.05
Mount Gambier,AU,-37.83,140.77,1583821201,77.0,27,0,8.05
Fortuna,US,40.6,-124.16,1583821202,42.04,93,1,1.39
Rabo de Peixe,PT,37.8,-25.58,1583821202,60.8,67,75,10.29
Priiskovyy,RU,51.93,116.63,1583821202,19.42,83,0,8.23
Fare,PF,-16.7,-151.02,1583821202,83.14,74,93,9.06
Koslan,RU,63.46,48.9,1583821202,28.96,93,100,10.09
Salinópolis,BR,-0.61,-47.36,1583821202,77.2,83,100,3.13
Camalú,MX,30.85,-116.07,1583821202,58.84,77,100,0.76
