city,country,lat,lng,date,temp,humidity,cloudiness,wind_speed
Clyde River,CA,70.47,-68.59,1583821202,-34.6,73,1,2.24
Bathsheba,BB,13.22,-59.52,1583821203,77.0,78,75,17.22
Sittwe,MM,20.15,92.9,1583821203,79.54,51,0,16.35
Nagorsk,RU,59.32,50.81,1583821203,30.4,91,68,6.44
Berdigestyakh,RU,62.1,126.7,1583821203,11.32,90,100,7.09
Sept-Îles,CA,50.2,-66.38,1583821262,5.0,34,75,9.17
Antofagasta,CL,-23.65,-70.4,1583821262,64.4,88,78,2.24
Batagay-Alyta,RU,67.8,130.41,1583821262,-20.36,93,100,4.43
Mmabatho,ZA,-25.85,25.63,1583821262,69.8,49,0,12.75
Iskateley,RU,67.68,53.15,1583821263,34.36,99,100,19.66
Mareeba,AU,-17.0,145.43,1583821263,76.82,94,75,2.24
Chui,UY,-33.7,-53.46,1583821263,66.04,92,1,7.72
Pangnirtung,CA,66.15,-65.71,1583821263,-30.62,96,100,2.55
Develi,TR,38.39,35.49,1583821263,59.0,41,40,17.22
Dzilam González,MX,21.28,-88.93,1583821263,74.14,72,44,17.92
La Ronge,CA,55.1,-105.28,1583821263,-9.4,76,5,4.7
Waingapu,ID,-9.66,120.26,1583821263,83.5,69,88,1.25
Ulladulla,AU,-35.35,150.47,1583821264,69.91,60,40,10.29
Boende,CD,-0.22,20.87,1583821264,72.16,93,99,3.36
Wanning,CN,18.8,110.4,1583821264,79.9,78,1,15.3
Bosobolo,CD,4.18,19.9,1583821264,76.84,68,73,4.16
Saint Andrews,US,34.05,-81.13,1583821264,57.88,72,90,5.82
Kolondiéba,ML,11.09,-6.89,1583821264,71.44,16,100,2.62
Oodweyne,SO,9.41,45.06,1583821264,73.78,56,6,5.28
Varkaus,FI,62.32,27.87,1583821264,34.84,93,90,10.29
Klyavlino,RU,54.26,52.03,1583821265,34.54,100,100,1.9
Salinas,US,36.68,-121.66,1583821207,54.93,76,90,4.43
Severo-Kuril'sk,RU,50.68,156.12,1583821265,25.36,84,100,11.32
Arman',RU,59.7,150.17,1583821265,8.62,91,84,9.62
Puerto Colombia,CO,10.99,-74.95,1583821265,78.8,78,0,13.87
Ponta do Sol,PT,32.67,-17.1,1583821265,59.36,77,20,9.17
Arrondissement de Blois,FR,47.58,1.33,1583821265,49.57,93,90,10.29
Vyartsilya,RU,62.18,30.69,1583821265,35.62,97,100,7.87
Bima,ID,-8.47,118.72,1583821266,82.24,84,82,5.03
Cayenne,GF,4.93,-52.33,1583821266,78.8,74,75,8.05
Wanaka,NZ,-44.7,169.15,1583821266,57.0,82,89,2.82
Sechura,PE,-5.56,-80.82,1583821266,76.48,84,68,7.78
Zhigansk,RU,66.77,123.37,1583821266,-16.94,91,100,16.93
Caucayá,CO,-0.19,-74.78,1583821266,73.6,91,37,1.9
La Rioja,ES,42.25,-2.5,1583821266,44.6,81,63,3.36
Dunedin,NZ,-45.87,170.5,1583821267,52.48,89,100,1.01
Ilulissat,GL,69.22,-51.1,1583821267,12.2,61,60,24.16
Lac du Bonnet,CA,50.25,-96.06,1583821267,9.0,87,13,3.09
Moramanga,MG,-18.93,48.2,1583821267,67.48,91,87,7.58
Nova Olímpia,BR,-14.8,-57.29,1583821267,71.8,92,85,0.81
Tuatapere,NZ,-46.13,167.68,1583821267,52.0,78,100,8.01
Belyy Yar,RU,53.6,91.39,1583821267,30.2,68,100,17.78
Clonakilty,IE,51.62,-8.87,1583821267,52.3,93,75,20.8
Koumac,NC,-20.57,164.28,1583821267,80.26,72,70,3.09
Lempäälä,FI,61.32,23.75,1583821268,36.91,100,90,8.05
Keflavik,IS,64.0,-22.56,1583821268,32.0,54,100,18.34
Ambulu,ID,-8.35,113.61,1583821268,83.32,78,24,13.53
Druzhinino,RU,56.79,59.51,1583821268,32.56,98,87,3.2
Liepāja,LV,56.54,21.04,1583821188,41.0,100,90,10.29
Manono,CD,-7.3,27.42,1583821268,71.98,95,91,0.81
Vitina,BA,43.24,17.48,1583821268,41.0,72,20,3.36
Khangarh,PK,29.92,71.16,1583821269,71.6,56,1,3.49
Zyryanovsk,KZ,49.74,84.27,1583821269,13.84,56,100,2.1
Kidal,ML,18.44,1.41,1583821269,63.34,11,100,11.79
Klaksvík,FO,62.23,-6.59,1583821269,41.0,80,100,16.11
Qaqortoq,GL,60.72,-46.03,1583821269,23.0,67,98,3.36
Straumen,NO,63.87,11.3,1583821269,33.19,92,85,11.41
Belmonte,BR,-15.86,-38.88,1583821269,75.2,88,75,5.82
Kaitangata,NZ,-46.28,169.85,1583821269,51.42,83,100,4.0
Merauke,ID,-8.47,140.33,1583821156,89.26,64,45,12.08
Nizhniy Tsasuchey,RU,50.52,115.13,1583821270,26.62,57,0,7.45
Totness,SR,5.88,-56.32,1583821270,78.46,73,61,13.91
Vestmannaeyjar,IS,63.44,-20.27,1583821270,33.28,63,100,15.05
Vokhtoga,RU,58.81,41.05,1583821270,36.16,88,97,6.85
Rocha,UY,-34.48,-54.33,1583821270,57.58,93,9,3.65
Chokurdakh,RU,70.63,147.92,1583821270,-27.38,94,64,4.45
Sangar,RU,63.92,127.47,1583821270,2.5,89,100,11.68
Alnashi,RU,56.19,52.48,1583821271,32.02,95,92,4.52
Plérin,FR,48.54,-2.78,1583821271,52.77,100,90,16.11
Hrubieszów,PL,50.8,23.89,1583821271,36.52,81,48,3.36
Mayya,RU,61.73,130.28,1583821271,12.2,56,100,6.71
Narsaq,GL,60.92,-46.05,1583821271,23.0,67,100,3.36
Nerchinskiy Zavod,RU,51.31,119.61,1583821271,16.36,88,84,6.69
Qui Nhon,VN,13.77,109.23,1583821271,92.86,53,0,10.29
Najrān,SA,17.49,44.13,1583821271,66.2,29,5,6.93
Krasnoarmeysk,RU,51.02,45.7,1583821272,43.0,81,90,3.0
Afuá,BR,-0.16,-50.39,1583821272,75.94,88,100,9.46
Lagoa,PT,39.05,-27.98,1583821272,62.08,78,100,19.26
Mercedes,AR,-34.65,-59.43,1583821272,64.87,93,100,4.0
La Tuque,CA,47.43,-72.78,1583821076,23.2,96,100,9.71
Tocopilla,CL,-22.09,-70.2,1583821272,62.44,51,100,2.93
Vulturu,RO,45.62,27.42,1583821272,50.0,81,75,16.11
Leh,IN,34.17,77.58,1583821272,15.64,29,94,1.52
Port Hedland,AU,-20.32,118.57,1583821273,95.0,50,0,10.29
Mattawa,US,46.74,-119.9,1583821273,34.56,64,1,2.17
Port Augusta,AU,-32.5,137.77,1583821273,86.5,30,0,12.75
Locri,IT,38.24,16.26,1583821273,48.99,81,20,1.12
Vardø,NO,70.37,31.11,1583821273,35.6,80,75,25.28
Okato,NZ,-39.2,173.88,1583821273,60.44,76,5,7.0
Mitú,CO,1.2,-70.17,1583821273,71.98,98,38,0.78
Luwuk,ID,-0.95,122.79,1583821273,84.22,74,41,14.14
Mahajanga,MG,-15.72,46.32,1583821273,86.0,79,20,2.24
Havelock,US,34.88,-76.9,1583821274,57.38,77,1,5.82
Srednekolymsk,RU,67.45,153.68,1583821274,-9.2,93,100,4.94
Bronzani Majdan,BA,44.79,16.93,1583821274,37.4,86,88,3.36
Richards Bay,ZA,-28.78,32.04,1583821274,74.5,80,0,5.91
Surgāna,IN,20.57,73.62,1583821274,80.44,47,24,11.07
Birin,NP,26.89,88.07,1583821274,55.78,71,23,6.11
Karpogory,RU,64.0,44.45,1583821263,32.74,96,100,10.38
Tarko-Sale,RU,64.92,77.78,1583821275,8.44,93,67,20.69
Binga,ZW,-17.62,27.34,1583821275,74.5,71,0,3.8
Karakol,KG,42.49,78.39,1583821275,29.5,67,0,1.97
Mount Darwin,ZW,-16.77,31.58,1583821275,67.3,90,33,2.28
Ondarroa,ES,43.32,-2.42,1583821275,42.64,100,20,2.24
Bengkulu,ID,-3.8,102.27,1583821275,88.0,58,100,8.08
Aripuanã,BR,-9.17,-60.63,1583821275,71.62,97,32,1.45
Vanimo,PG,-2.67,141.3,1583821276,83.5,76,100,12.46
The Valley,AI,18.22,-63.06,1583821276,77.0,69,40,12.75
Loreto,MX,22.27,-101.97,1583821276,65.86,46,85,7.2
Yuncheng,CN,35.02,110.99,1583821061,53.98,15,17,10.58
Batemans Bay,AU,-35.72,150.18,1583821276,69.33,73,79,4.0
Palmer,US,42.16,-72.33,1583821276,54.27,35,90,3.36
Kaeo,NZ,-35.1,173.78,1583821276,68.36,80,86,14.45
Iqaluit,CA,63.75,-68.51,1583821217,-23.37,67,5,14.99
Bulgan,MN,48.81,103.53,1583821277,27.88,61,63,9.42
Faya,SA,18.39,42.45,1583821277,59.79,32,0,3.51
Cockburn Town,TC,21.46,-71.14,1583821141,74.32,75,29,26.44
Jiayuguan City,CN,39.82,98.3,1583821277,46.24,10,0,10.56
Monrovia,LR,6.3,-10.8,1583821277,79.9,88,79,4.03
Rebra,RO,47.32,24.5,1583821277,39.99,90,99,1.01
Yumen,CN,40.28,97.2,1583821277,45.16,12,0,20.85
Raja,SS,8.46,25.68,1583821277,79.36,22,8,3.8
Atar,MR,20.52,-13.05,1583821278,68.2,12,0,15.84
Mudon,MM,16.26,97.72,1583821278,84.76,58,8,10.69
Måløy,NO,61.94,5.11,1583821278,41.09,60,75,17.22
Matara,LK,5.95,80.54,1583821278,91.96,44,13,7.61
Nizhnevartovsk,RU,60.93,76.55,1583821278,17.6,61,26,8.95
Rantepao,ID,-2.97,119.9,1583821278,78.28,82,100,2.35
Phang Nga,TH,8.45,98.53,1583821278,89.13,62,40,11.41
Atocha,BO,-20.93,-66.23,1583821278,42.28,81,11,4.97
Château-Gontier,FR,47.83,-0.7,1583821279,51.87,93,90,12.75
Oistins,BB,13.07,-59.53,1583821279,77.0,78,75,17.22
Tutóia,BR,-2.76,-42.27,1583821279,73.42,97,89,6.04
Aswān,EG,24.09,32.91,1583820984,60.8,31,0,6.93
Zamora,EC,-4.07,-78.96,1583821279,58.3,99,100,0.83
Yaan,NG,7.38,8.57,1583821279,80.08,78,22,8.16
Yemtsa,RU,63.07,40.33,1583821144,32.38,93,100,9.66
San Luis,AR,-33.3,-66.34,1583821279,75.22,46,6,17.18
Comodoro Rivadavia,AR,-45.87,-67.5,1583821140,53.6,81,60,4.7
Gushikawa,JP,26.35,127.87,1583821280,65.7,77,90,12.75
Skellefteå,SE,64.75,20.95,1583821280,31.51,87,0,6.93
Le Mars,US,42.79,-96.17,1583821280,24.94,100,1,6.64
South Lake Tahoe,US,38.93,-119.98,1583821234,40.91,52,90,11.41
Jambi City,ID,-1.6,103.62,1583821280,93.58,55,74,3.06
Lawrence,US,38.97,-95.24,1583821044,35.69,80,90,13.87
Laguna,US,38.42,-121.42,1583821281,50.11,71,1,3.36
Umluj,SA,25.02,37.27,1583821025,82.42,14,0,2.17
Swellendam,ZA,-34.02,20.44,1583821281,68.0,72,100,9.17
Cam Ranh,VN,11.92,109.16,1583821066,91.4,66,20,11.41
Skibbereen,IE,51.55,-9.27,1583821281,51.8,93,75,20.8
Antalaha,MG,-14.9,50.28,1583821024,82.6,79,78,20.2
Atambua,ID,-9.11,124.89,1583821281,81.52,78,95,4.05
Port Moresby,PG,-9.44,147.18,1583821119,91.4,59,40,17.22
Falun,SE,60.6,15.63,1583821282,34.72,93,40,4.7
Aklavik,CA,68.22,-135.01,1583821282,-14.8,75,90,5.82
Beneditinos,BR,-5.45,-42.37,1583821282,75.2,94,75,5.82
Salalah,OM,17.02,54.09,1583821109,84.2,18,5,14.99
Waipawa,NZ,-41.41,175.52,1583821282,61.3,82,88,4.7
Cedar City,US,37.68,-113.06,1583821196,39.88,56,1,3.36
Saint-Joseph,RE,-21.37,55.62,1583821283,82.92,62,1,13.87
Ambanja,MG,-13.68,48.45,1583821283,84.2,69,40,1.39
Avdon,RU,54.67,55.72,1583821283,33.51,100,90,4.47
Ulcinj,ME,41.93,19.22,1583821283,44.69,65,20,1.12
Turaif,SA,31.67,38.66,1583820999,60.8,48,0,11.41
Beyşehir,TR,37.68,31.72,1583821283,39.04,84,85,24.18
Peto,MX,20.13,-88.92,1583821283,67.12,90,12,3.36
Martil,MA,35.62,-5.28,1583821283,50.94,76,0,9.17
Liverpool,GB,53.41,-2.98,1583820984,51.4,81,75,18.34
Coyhaique,CL,-45.58,-72.07,1583821246,48.2,87,38,8.05
Panama City,PA,8.99,-79.52,1583821007,78.98,74,35,9.17
Buala,SB,-8.14,159.59,1583821284,81.7,81,100,7.38
Kutum,SD,14.2,24.67,1583821284,75.22,12,0,4.52
Canyon Lake,US,29.88,-98.26,1583821284,63.45,88,1,5.82
Perth,AU,-31.93,115.83,1583821284,93.58,21,93,16.11
Cabra,ES,37.47,-4.44,1583821285,47.84,81,2,1.12
Mwadui,TZ,-3.55,33.6,1583821285,66.4,91,100,9.28
Braintree,GB,51.88,0.55,1583821285,52.59,87,75,14.99
Stornoway,GB,58.21,-6.39,1583821285,43.36,93,40,16.11
Oskemen,KZ,49.96,82.61,1583821285,24.8,79,90,6.71
Morant Bay,JM,17.88,-76.41,1583821285,77.4,73,75,8.05
Pauini,BR,-7.71,-66.98,1583821285,73.6,97,20,1.01
Parakou,BJ,9.34,2.63,1583821285,74.86,82,26,2.51
Mbini,GQ,1.57,9.61,1583821285,82.42,80,91,5.28
Cidreira,BR,-30.18,-50.21,1583821286,75.04,79,0,11.12
Airai,TL,-8.93,125.41,1583821286,73.96,93,100,2.33
La Palma,US,33.85,-118.05,1583821286,59.45,63,75,4.7
Manta,EC,-0.95,-80.73,1583821286,77.0,88,75,2.24
Touros,BR,-5.2,-35.46,1583821286,75.2,94,40,4.7
Kavaratti,IN,10.57,72.64,1583821094,84.2,70,20,5.82
Tazovsky,RU,67.47,78.7,1583821286,1.42,95,81,19.04
Pimenteiras,BR,-6.25,-41.42,1583821286,69.64,97,94,1.59
Eidsvåg,NO,62.78,8.07,1583821286,33.82,75,35,14.99
Makakilo City,US,21.35,-158.09,1583821244,70.45,68,75,11.41
Launceston,AU,-41.45,147.17,1583821287,65.82,40,40,5.82
Hermiston,US,45.84,-119.29,1583821262,36.81,74,1,2.57
Sembakung,ID,3.82,117.25,1583821287,85.48,73,11,5.64
Tamiahua,MX,21.27,-97.45,1583821287,72.7,86,13,5.68
Teya,RU,60.38,92.63,1583821287,15.1,85,100,3.42
Camacha,PT,33.08,-16.33,1583821287,60.8,87,20,11.41
Windhoek,NA,-22.56,17.08,1583821287,60.48,67,0,3.36
Uruçuí,BR,-7.23,-44.56,1583821288,72.34,97,100,3.58
San Julián,MX,21.02,-102.17,1583821288,65.68,53,85,4.38
Miraflores,MX,19.22,-98.81,1583821288,64.22,45,75,9.17
Kawalu,ID,-7.38,108.21,1583821288,84.4,60,6,5.93
Kŭlob,TJ,37.91,69.78,1583821288,42.8,87,90,4.47
Aksarka,RU,66.56,67.8,1583821288,28.42,86,100,19.91
Lucea,JM,18.45,-78.17,1583821288,76.55,78,75,16.11
Porto-Novo,BJ,6.5,2.6,1583821288,84.2,89,20,11.41
São Filipe,CV,14.9,-24.5,1583821288,69.82,78,0,10.83
Verkhoyansk,RU,67.54,133.38,1583821289,-16.04,86,98,2.13
Bayan,CN,46.08,127.4,1583821289,28.06,84,98,8.57
Caçapava do Sul,BR,-30.51,-53.49,1583821289,69.28,66,2,3.18
Byron Bay,AU,-28.65,153.62,1583821289,71.35,88,75,11.41
Luga,RU,58.74,29.85,1583821289,35.44,93,51,5.1
Sabha,LY,27.04,14.43,1583821289,50.74,24,0,3.18
Khovd,MN,48.01,91.64,1583821289,35.8,26,75,0.87
Booué,GA,-0.09,11.94,1583821290,73.42,97,96,1.03
Rodrigues Alves,BR,-7.74,-72.65,1583821290,74.32,90,29,0.94
Cervo,ES,43.67,-7.41,1583821290,46.44,79,100,4.0
Dunmore Town,BS,25.5,-76.65,1583821290,71.26,72,32,28.39
Kermanshah,IR,34.31,47.06,1583821127,48.2,23,47,4.7
Conceição do Araguaia,BR,-8.26,-49.26,1583821290,72.7,97,100,3.83
Sibu,MY,2.3,111.82,1583821290,89.38,70,75,2.24
Yabēlo,ET,4.88,38.08,1583821290,74.14,59,70,7.23
Taoudenni,ML,22.68,-3.98,1583821290,57.58,15,83,8.21
Xi'an,CN,34.26,108.93,1583821171,58.26,19,84,4.47
Jackson,US,42.42,-122.83,1583821291,39.29,74,1,10.29
Luena,AO,-11.78,19.92,1583821291,64.78,96,100,4.63
Kutulik,RU,53.35,102.78,1583821291,27.88,84,100,9.04
Atbasar,KZ,51.8,68.33,1583821291,25.36,94,97,6.76
Walvis Bay,NA,-22.96,14.51,1583821291,67.48,75,0,8.7
Kristinehamn,SE,59.31,14.11,1583821291,38.57,100,90,6.93
Torbay,CA,47.67,-52.73,1583821292,7.66,60,20,19.46
Vostok,RU,46.49,135.88,1583821292,29.5,84,100,3.74
Tulun,RU,54.56,100.58,1583821292,24.46,84,100,12.82
Port-Cartier,CA,50.03,-66.87,1583821292,5.0,34,75,9.17
Boguchany,RU,58.38,97.45,1583821292,15.28,90,100,6.71
Shahr-e Kord,IR,32.33,50.86,1583821213,41.0,25,0,2.24
Bonthe,SL,7.53,-12.51,1583821292,79.54,87,95,4.97
Gostilitsy,RU,59.75,29.62,1583821292,35.78,81,40,4.47
Alice Springs,AU,-23.7,133.88,1583821255,91.4,13,0,11.41
Kang,BW,-23.68,22.79,1583821293,73.24,41,0,10.2
Kilindoni,TZ,-7.91,39.67,1583821293,81.34,84,89,7.67
Sunrise Manor,US,36.21,-115.07,1583821293,60.01,25,1,5.82
Imbituba,BR,-28.24,-48.67,1583821293,73.4,100,0,9.17
Usinsk,RU,65.99,57.53,1583821293,32.56,91,100,20.8
Mingguang,CN,32.78,117.96,1583821293,57.04,45,25,7.83
Homer,US,59.64,-151.55,1583821294,22.96,79,75,3.36
Saqqez,IR,36.25,46.27,1583821294,43.9,22,73,2.26
Shelburne,CA,44.08,-80.2,1583821294,48.49,81,90,17.22
Ullapool,GB,57.9,-5.16,1583821294,45.93,89,97,11.01
Ligayan,PH,4.65,119.47,1583821294,83.68,75,0,11.12
Kenora,CA,49.82,-94.43,1583821294,10.65,66,22,6.93
Bangassou,CF,4.74,22.82,1583821113,77.38,67,47,4.76
Litovko,RU,49.24,135.17,1583821294,24.46,62,34,1.61
Tabas,IR,33.6,56.92,1583821295,57.2,19,0,4.7
Zadar,HR,44.12,15.24,1583821295,40.44,80,20,4.7
Banda Aceh,ID,5.56,95.32,1583821160,82.24,75,98,7.94
Labuhan,ID,-6.88,112.21,1583821295,87.64,65,39,5.82
Shingū,JP,33.73,135.98,1583821295,64.4,100,75,9.17
Tautira,PF,-17.73,-149.15,1583821295,84.11,66,75,4.7
Superior,US,46.72,-92.1,1583821295,23.59,85,1,6.44
Mayumba,GA,-3.43,10.66,1583821295,82.24,82,100,6.13
Rockport,US,28.02,-97.05,1583821297,68.31,83,75,5.82
Maragogi,BR,-9.01,-35.22,1583821297,80.98,76,93,7.23
Teruel,ES,40.67,-0.67,1583821297,42.55,80,77,1.12
Rosignano Marittimo,IT,43.41,10.47,1583821297,40.62,100,11,5.82
Kalāleh,IR,37.38,55.49,1583821297,57.2,58,0,2.24
Bukachacha,RU,52.98,116.92,1583821297,19.96,72,0,6.17
Santa Fe,AR,-31.63,-60.7,1583821297,76.33,63,22,5.01
Novomykolayivka,UA,47.98,35.91,1583821297,49.89,70,100,8.95
Cuencamé de Ceniceros,MX,24.87,-103.7,1583821298,61.9,68,94,4.54
Tiznit Province,MA,29.58,-9.5,1583821298,56.32,19,0,3.53
Ponta Delgada,PT,37.73,-25.67,1583821298,60.8,67,75,10.29
Eydhafushi,MV,5.1,73.07,1583821298,83.5,69,75,10.98
Abaeté,BR,-19.16,-45.45,1583821005,65.68,93,5,2.39
Summerville,US,33.02,-80.18,1583821298,55.24,87,75,3.36
Severnoye,RU,56.35,78.36,1583821298,16.0,88,91,7.9
Valleyview,CA,55.07,-117.29,1583821298,19.6,80,0,6.49
Kununurra,AU,-15.77,128.73,1583821298,98.6,25,0,6.93
Tambun,ID,-6.26,107.07,1583821299,93.74,52,40,6.93
Erzin,TR,36.96,36.2,1583821299,61.88,63,0,3.47
